"TIME","GEO","CURRENCY","Value","Flag and Footnotes"
"2012S1","Lithuania","Euro","231.70",""
"2012S1","Luxembourg","Euro","1,801.49",""
"2012S1","Hungary","Euro","295.63",""
"2012S1","Malta","Euro","685.14",""
"2012S1","Netherlands","Euro","1,446.60",""
"2012S1","Austria","Euro",":","z"
"2012S1","Poland","Euro","336.47",""
"2012S1","Portugal","Euro","565.83",""
"2012S1","Romania","Euro","161.91",""
"2012S1","Slovenia","Euro","763.06",""
"2012S1","Slovakia","Euro","327.00",""
"2012S1","Finland","Euro",":","z"
"2012S1","Sweden","Euro",":","z"
"2012S1","Iceland","Euro",":","z"
"2012S1","Norway","Euro",":","z"
"2012S1","Switzerland","Euro",":","z"
"2012S1","United Kingdom","Euro","1,201.96",""
"2012S1","Montenegro","Euro",":",""
"2012S1","North Macedonia","Euro",":",""
"2012S1","Albania","Euro","143.96",""
"2012S1","Serbia","Euro","229.99",""
"2012S1","Turkey","Euro","362.84",""
"2012S1","United States","Euro","971.22",""
"2012S2","Belgium","Euro","1,472.42",""
"2012S2","Bulgaria","Euro","148.28",""
"2012S2","Czechia","Euro","312.01",""
"2012S2","Denmark","Euro",":","z"
"2012S2","Germany (until 1990 former territory of the FRG)","Euro",":","z"
"2012S2","Estonia","Euro","290.00",""
"2012S2","Ireland","Euro","1,461.85",""
"2012S2","Greece","Euro","683.76",""
"2012S2","Spain","Euro","748.30",""
"2012S2","France","Euro","1,425.67",""
"2012S2","Croatia","Euro","374.31",""
"2012S2","Italy","Euro",":","z"
"2012S2","Cyprus","Euro",":","z"
"2012S2","Latvia","Euro","287.07",""
"2012S2","Lithuania","Euro","231.70",""
"2012S2","Luxembourg","Euro","1,801.49",""
"2012S2","Hungary","Euro","323.17",""
"2012S2","Malta","Euro","685.14",""
"2012S2","Netherlands","Euro","1,456.20",""
"2012S2","Austria","Euro",":","z"
"2012S2","Poland","Euro","353.04",""
"2012S2","Portugal","Euro","565.83",""
"2012S2","Romania","Euro","157.26",""
"2012S2","Slovenia","Euro","763.06",""
"2012S2","Slovakia","Euro","327.00",""
"2012S2","Finland","Euro",":","z"
"2012S2","Sweden","Euro",":","z"
"2012S2","Iceland","Euro",":","z"
"2012S2","Norway","Euro",":","z"
"2012S2","Switzerland","Euro",":","z"
"2012S2","United Kingdom","Euro","1,244.42",""
"2012S2","Montenegro","Euro",":",""
"2012S2","North Macedonia","Euro",":",""
"2012S2","Albania","Euro","151.99",""
"2012S2","Serbia","Euro","234.90",""
"2012S2","Turkey","Euro","411.89",""
"2012S2","United States","Euro","998.15",""
"2013S1","Belgium","Euro","1,501.82",""
"2013S1","Bulgaria","Euro","158.50",""
"2013S1","Czechia","Euro","318.08",""
"2013S1","Denmark","Euro",":","z"
"2013S1","Germany (until 1990 former territory of the FRG)","Euro",":","z"
"2013S1","Estonia","Euro","320.00",""
"2013S1","Ireland","Euro","1,461.85",""
"2013S1","Greece","Euro","683.76",""
"2013S1","Spain","Euro","752.85",""
"2013S1","France","Euro","1,430.22",""
"2013S1","Croatia","Euro","372.35",""
"2013S1","Italy","Euro",":","z"
"2013S1","Cyprus","Euro",":","z"
"2013S1","Latvia","Euro","286.66",""
"2013S1","Lithuania","Euro","289.62",""
"2013S1","Luxembourg","Euro","1,874.19",""
"2013S1","Hungary","Euro","335.27",""
"2013S1","Malta","Euro","702.82",""
"2013S1","Netherlands","Euro","1,469.40",""
"2013S1","Austria","Euro",":","z"
"2013S1","Poland","Euro","392.73",""
"2013S1","Portugal","Euro","565.83",""
"2013S1","Romania","Euro","157.50",""
"2013S1","Slovenia","Euro","783.66",""
"2013S1","Slovakia","Euro","337.70",""
"2013S1","Finland","Euro",":","z"
"2013S1","Sweden","Euro",":","z"
"2013S1","Iceland","Euro",":","z"
"2013S1","Norway","Euro",":","z"
"2013S1","Switzerland","Euro",":","z"
"2013S1","United Kingdom","Euro","1,249.85",""
"2013S1","Montenegro","Euro",":",""
"2013S1","North Macedonia","Euro","199.48",""
"2013S1","Albania","Euro","150.44",""
"2013S1","Serbia","Euro","239.24",""
"2013S1","Turkey","Euro","415.52",""
"2013S1","United States","Euro","952.46",""
"2013S2","Belgium","Euro","1,501.82",""
"2013S2","Bulgaria","Euro","158.50",""
"2013S2","Czechia","Euro","308.30",""
"2013S2","Denmark","Euro",":","z"
"2013S2","Germany (until 1990 former territory of the FRG)","Euro",":","z"
"2013S2","Estonia","Euro","320.00",""
"2013S2","Ireland","Euro","1,461.85",""
"2013S2","Greece","Euro","683.76",""
"2013S2","Spain","Euro","752.85",""
"2013S2","France","Euro","1,430.22",""
"2013S2","Croatia","Euro","400.67",""
